optimistic_submission|decode_duration|prechecks_duration|simulation_duration|redis_update_duration|total_duration|slot|block_hash
f|94703|1694|90734|7056|194189|5992667|0x9cf725db96cf012a3b401a63e1ee6048d52647ef78af78acfdde9a2462f9a288
f|10279|1425|117514|5765|134984|5992877|0x2fc9388fccb6cbfa8833dd28a9341564c82d5eb9bab2503285cc235ffd1bab86
f|16285|2030|176026|207230|401574|5992881|0x2403572c312c0c0340a10fedc6dbc73a1820d6174c01b0a54d1e5251fc651315
f|11908|143257|277967|51924|485057|5992928|0x0ea9cf6851cd38b97397e3d657d377f10c965528eb95558a391516582f1febea
f|11006|1402|109785|8351|130544|5992457|0x1d6fca4f124f000566ea47105ab74f04c8f0daf37af1a381861d3807290877d2
f|9917|1265|102893|5006|119083|5992458|0x1af00681b04756590c734c11e33a50a43952de4d68c97f32eb811b3f30d910b8
f|11937|2016|97600|6173|117727|5992458|0x1af00681b04756590c734c11e33a50a43952de4d68c97f32eb811b3f30d910b8
f|11894|2034|75478|5578|94985|5992498|0xa978bdabe26e6a87bb99da255f7c762e70878b864f807c75eb2283fe6eef2414
f|217360|88001|300697|993160|1599219|5992668|0xc8a7c6ed89aff2fc6604ed1b2f694f88ec5618502d8df80f3e4e7d87f47634b8
f|10703|1806|98438|5932|116881|5992533|0xc9fcf04f8f51183158516b49873ca02bbeda4fb5f06aff082c26215c2e60b8ea
f|6204|1481|99495|4751|111931|5993003|0x7d72b377937604f46f154164237dffa638d3fb1127c8478cc4685bbd7d45868e
f|93297|2768|104274|7072|207413|5992895|0x764c681457eb34c2d197eb984e8c6925c9b8b82d073993fc212470186497c1c6
f|14262|1860|97466|303231|416821|5993013|0x8e3956c531bcda3d736528083ac9a76ea5346e718e5cef82cb28f1c8586d70aa
f|106436|1984|154306|8137|270864|5993104|0xe9166c28a8e35625f9575fbc1f747923f9924df812a7b38f7617aa5c4aad97d1
f|8540|1483|115804|5531|131360|5992551|0xe2ecbf5044b117d4fba6ac4fca6b3b03be7385cd1b43ca2c830280f0fdc2e214
f|10630|1283|105131|5675|122721|5992551|0xe2ecbf5044b117d4fba6ac4fca6b3b03be7385cd1b43ca2c830280f0fdc2e214
f|141811|1505|124090|6389|273797|5992558|0x5463601ab5ddf175d776a4e7021f659712fa5358f82ddfcbc0f4d3b7a5aab9fe
f|43222|3692|141935|51167|240017|5992896|0xed81e3446c7b3abb7e1127b0cf039c29a92ce7039a9872e7028edb000014e252
f|97171|1670|112406|7074|218323|5992597|0x8b12525308b2b7f2dd915f9039d50c5b950325c5ae964e80c44e11d18d5f778d
f|107810|2579|143963|14461|268815|5993108|0xbb08fa834ae6e4eb729be87ade6f7f1f88355a243f1b305fde62e505f7ca781b
f|37645|9752|160284|52967|260649|5992896|0xed81e3446c7b3abb7e1127b0cf039c29a92ce7039a9872e7028edb000014e252
f|139805|1411|102100|7298|250614|5992989|0xca1b3dc3adddccfa3e2e891258f77dc55480f1f30f82c1167bcf47e7e4bda0ca
f|111805|4117|142866|8893|267683|5992494|0x189926847e166a902e3ff4be0e47bc4bef361f1ed590659bc3ce8e177d70c2a4
f|90830|1336|150924|7878|250971|5992639|0xf7bcc186deea6994fd61c855714692f402cfb185fe372b161b255e410f16255f
f|103525|1788|128348|6340|240003|5993004|0x10305df67caf82591d9de60b6da856d9966ae700d61835092a817c331008da06
f|91673|2262|159875|6249|260060|5992647|0x2770c3e05337ef449475fdf53cf7862fd39f40dc2922fab955142427ba6a1d9d
f|102369|1694|95972|5590|205626|5993080|0x46f1c77e47feca9df6cbd864c4ec7f3d2c74d77dd5a4fa4535aaa0b8ab2d773e
f|14436|1600|175115|7513|198665|5992587|0x2de86e533dbde33dc0a5e3c3a37c7f7a10916f2eeab62565982231f45b80c423
f|116916|2152|88234|19494|226797|5992495|0x5f536e5b18340fe8248a58d378f91d48302ba12a6fc84f20f057be15852a6eb7
f|9658|1614|143383|6768|161424|5993083|0x90c8ceae560f1cf2200b8621d279063ceeed9aec87f1e88a63695f1ac8bc8670
