decode_duration|pg_column_size
243945|36617
80333|37310
245847|37434
113191|44692
86313|44994
98222|46237
91071|46475
109176|42075
106004|43610
168760|43731
91834|44111
172486|44627
82161|47816
111835|47750
116275|48353
101535|48494
91256|48399
102351|46428
110592|46580
117692|46766
167935|46395
113309|47174
26679|18055
10305|20989
30091|20706
10580|21414
30958|22720
168863|48338
114080|48676
106161|48816
116371|48990
106888|49081
120492|49479
91848|49529
163613|49463
110697|49627
106535|49785
17636|12479
9922|13185
18409|13629
11261|14961
20316|14906
10374|16132
24943|16080
9827|16275
25292|16354
11703|17571
11099|18103
36923|25968
21316|26268
40041|26812
10135|26803
42980|27613
23338|28586
2334|28789
42912|28583
1460|28955
17004|23353
10516|24034
32253|24027
9742|24949
35481|25169
10442|25593
11609|26110
12865|27789
2335|30059
43919|29684
13040|28736
934|29103
41341|28721
11347|28897
2162|29898
9386|29873
1258|30393
1866|30855
11408|30895
238796|256534
1307|31089
44015|32150
3152|33089
10206|32901
2145|33307
1420|33720
2563|33976
47577|34277
7891|3852
164|5503
13933|4258
258|4498
279|5677
21520|5510
249|7085
21708|6689
30616|7386
27002|34744
11738|36908
126756|36860
67722|38235
121808|38167
11558|38739
13528|39092
208508|39044
15114|39389
13957|40177
207326|40129
205064|40764
110129|43892
93079|44264
373506|44250
113899|45969
372676|45917
106902|46541
118771|47253
80479|47024
96890|47429
88830|47742
382920|47190
121631|47530
96131|47963
96136|47756
103390|48192
94187|48573
177018|47927
97333|48337
90535|50916
96573|51122
80460|51293
102171|51322
108419|51504
205337|51253
90346|51780
10564|5716
341|6466
13273|6958
11100|6998
12625|7267
17309|7875
26523|31598
30926|30892
12563|26341
33333|25046
12193|27114
21932|28377
21148|28399
17073|32620
45379|32405
22066|35487
29642|35497
11670|36598
26189|37210
130149|36700
80781|42535
158778|42633
80256|44324
96747|44479
156824|44313
110746|60178
173970|157062
168008|75078
477180|213501
246833|255381
217598|213605
271445|255291
242606|255679
251520|255925
155561|255918
217955|256111
135053|256601
251177|256812
85402|256934
249460|256974
214878|257143
247166|257073
84125|124970
91379|126527
22626|126724
80808|128006
315662|256362
217491|257285
202601|119233
106578|119642
89819|120244
180021|120196
83280|122969
88772|123330
184063|123643
118993|124609
67850|124561
