read_header_duration|read_duration|decode_duration|cache_read_duration|randao_lock_2_duration|simulation_duration|redis_update_duration|submission_duration|optimistic_submission
3582|0|263279|603|2089|9|14499|280505|t
4578|0|164849|464|2306|17|15368|183030|t
40|0|177026|495|2805|33|16097|196481|t
71|0|159259|424|56914|21|13472|230115|t
82|0|151141|421|2558|16|14514|168671|t
906|0|407922|397|2588|27|14868|425825|t
79|0|182719|361|4536|19|60369|248026|t
73|0|117021|394|2789|15|13870|134131|t
1969|0|267463|341|1951|17|13375|283167|t
430|0|66973|1252|3307|11|25812|97389|t
57|0|161877|402|2840|14|43804|208960|t
76|0|129342|369|2270|12|13887|145899|t
1184|0|185292|346|2513|17|14035|202227|t
72|0|119737|388|2594|14|15803|138557|t
910|0|158425|439|3224|20|13505|175636|t
76|0|126808|420|2507|15|13055|142827|t
72|0|52201|404|2629|20|13718|68992|t
207|0|116302|1014|2643|14|14685|134685|t
65|0|49916|476|2510|16|18262|71209|t
82|0|49322|51856|3544|8|225100|329849|t
74|0|4431|389|3654|11|291313|299838|t
75|0|105829|424|3550|9|694682|804518|t
58|0|106124|1318|3735|7|193718|304922|t
59|0|76438|199689|3157|11|14495|293815|t
